Time,Fragment,Date,,Rep,BW,AW_kelsey,Notes
1,100W,10/4/19,,NA,5.193,9.708624738,
1,103W,10/4/19,,NA,4.84,9.047501256,
1,104W,10/4/19,,NA,6.111,11.42604801,
1,105W,10/4/19,,NA,4.714,8.81310553,
1,106W,10/4/19,,NA,5.346,9.993635884,
1,107W,10/4/19,,NA,8.72,16.30088008,
1,108W,10/4/19,,NA,3.608,6.74467607,
1,109R,10/4/19,,NA,8.92,16.67475348,
1,10B,10/4/19,,NA,8.142,15.21959455,
1,10W,10/4/19,,NA,5.245,9.804575224,
1,111W,10/4/19,,NA,6.454,12.06613982,
1,112W,10/4/19,,NA,5.846,10.92944738,
1,113W,10/4/19,,NA,4.845,9.058250125,
1,11W,10/4/19,,NA,3.86,7.215381352,
1,12B,10/4/19,,NA,6.506,12.16459963,
1,13B,10/4/19,,NA,4.326,8.086881563,
1,15W,10/4/19,,NA,3.317,6.201330302,
1,184W,10/4/19,,NA,2.958,5.530158285,
1,185W,10/4/19,,NA,3.485,6.515416371,
1,18W,10/4/19,,NA,3.935,7.356906965,
1,191W,10/4/19,,NA,2.887,5.397557918,
1,192W,10/4/19,,NA,2.279,4.26072709,
1,194W,10/4/19,,NA,1.057,1.9759209,
1,19B,10/4/19,,NA,7.566,14.14653563,
1,1B,10/4/19,,NA,5.008,9.362756151,
1,21B,10/4/19,,NA,5.733,10.71708091,
1,21W,10/4/19,,NA,3.717,6.94897565,
1,22B,10/4/19,,NA,7.813,14.60460479,
1,230G,10/4/19,,NA,7.182,13.42855127,
1,23B,10/4/19,,NA,2.92,5.459115008,
1,24B,10/4/19,,NA,8.126,15.19204403,
1,259G,10/4/19,,NA,7.978,14.91534916,
1,25W,10/4/19,,NA,5.953,11.12834164,
1,26B,10/4/19,,NA,6.755,12.62887736,
1,28B,10/4/19,,NA,5.56,10.39555076,
1,29B,10/4/19,,NA,6.834,12.77657259,
1,2B,10/4/19,,NA,5.462,10.21231982,
1,302B,10/4/19,,NA,2.178,4.071269581,
1,303B,10/4/19,,NA,5.7,10.6553918,
1,304B,10/4/19,,NA,5.941,11.10705557,
1,305G,10/4/19,,NA,10.754,20.10524753,
1,306G,10/4/19,,NA,18.852,35.24854476,
1,310B,10/4/19,,NA,3.798,7.099855796,
1,311G,10/4/19,,NA,5.976,11.17249017,
1,312B,10/4/19,,NA,4.297,8.033705013,
1,312G,10/4/19,,NA,9.002,16.82804157,
1,313B,10/4/19,,NA,9.018,16.85925811,
1,313G,10/4/19,,NA,9.242,17.27668964,
1,314G,10/4/19,,NA,5.287,9.883086599,
1,316B,10/4/19,,NA,5.988,11.19289534,
1,316G,10/4/19,,NA,8.901,16.63837031,
1,317B,10/4/19,,NA,7.381,13.79886717,
1,317G,10/4/19,,NA,15.296,28.59752196,
1,318G,10/4/19,,NA,15.585,29.13256953,
1,319G,10/4/19,,NA,4.608,8.614043052,
1,320B,10/4/19,,NA,7.455,13.93613085,
1,320G,10/4/19,,NA,4.204,7.859629963,
1,322G,10/4/19,,NA,3.991,7.461413697,
1,323B,10/4/19,,NA,7.193,13.4463567,
1,324B,10/4/19,,NA,5.843,10.92271127,
1,325B,10/4/19,,NA,4.466,8.350307708,
1,325G,10/4/19,,NA,7.434,13.89687414,
1,326B,10/4/19,,NA,5.601,10.47032446,
1,326G,10/4/19,,NA,10.943,20.45541921,
1,328G,10/4/19,,NA,11.791,22.04170608,
1,32B,10/4/19,,NA,5.839,10.91523381,
1,32W,10/4/19,,NA,5.972,11.16501193,
1,330B,10/4/19,,NA,4.692,8.771069878,
1,331B,10/4/19,,NA,5.518,10.3172857,
1,331G,10/4/19,,NA,6.538,12.22318285,
1,332B,10/4/19,,NA,5.113,9.558073377,
1,332G,10/4/19,,NA,6.571,12.28456255,
1,334G,10/4/19,,NA,7.763,14.51151906,
1,336G,10/4/19,,NA,5.752,10.75259888,
1,337G,10/4/19,,NA,7.255,13.56504309,
1,338B,10/4/19,,NA,6.46,12.0761107,
1,33B,10/4/19,,NA,3.511,6.564528544,
1,33W,10/4/19,,NA,7.411,13.85672423,
1,340G,10/4/19,,NA,4.838,9.045855059,
1,342G,10/4/19,,NA,4.883,9.129061159,
1,343B,10/4/19,,NA,9.855,18.4226116,
1,343G,10/4/19,,NA,4.138,7.734836494,
1,345G,10/4/19,,NA,3.962,7.406239664,
1,346B,10/4/19,,NA,12.558,23.47551056,
1,347B,10/4/19,,NA,8.223,15.374962,
1,349G,10/4/19,,NA,4.751,8.883186727,
1,34B,10/4/19,,NA,5.831,10.90027887,
1,350B,10/4/19,,NA,9.265,17.31968509,
1,350G,10/4/19,,NA,5.769,10.78659319,
1,352G,10/4/19,,NA,10.122,18.92173259,
1,353G,10/4/19,,NA,4.59,8.582156825,
1,354G,10/4/19,,NA,9.859,18.42961051,
1,355G,10/4/19,,NA,7.554,14.12409862,
1,356G,10/4/19,,NA,8.752,16.36280807,
1,357B,10/4/19,,NA,5.161,9.647301336,
1,357G,10/4/19,,NA,8.916,16.66684322,
1,360G,10/4/19,,NA,5.338,9.978162087,
1,361B,10/4/19,,NA,6.602,12.34409572,
1,361G,10/4/19,,NA,5.021,9.387780637,
1,366B,10/4/19,,NA,5.98,11.17852428,
1,366G,10/4/19,,NA,5.232,9.78253693,
1,367B,10/4/19,,NA,7.627,14.26059044,
1,367G,10/4/19,,NA,5.141,9.609915941,
1,368G,10/4/19,,NA,4.942,9.238411624,
1,369G,10/4/19,,NA,4.299,8.038059301,
1,370G,10/4/19,,NA,7.157,13.38180749,
1,371G,10/4/19,,NA,6.227,11.64054819,
1,372B,10/4/19,,NA,4.758,8.895137515,
1,374B,10/4/19,,NA,5.134,9.596831052,
1,374G,10/4/19,,NA,4.681,8.750506841,
1,375G,10/4/19,,NA,5.63,10.52535187,
1,377B,10/4/19,,NA,13.684,25.58567189,
1,377G,10/4/19,,NA,9.76,18.24454799,
1,379B,10/4/19,,NA,5.065,9.470288523,
1,37B,10/4/19,,NA,5.793,10.8303607,
1,37W,10/4/19,,NA,3.028,5.661605853,
1,380B,10/4/19,,NA,8.178,15.28965315,
1,381B,10/4/19,,NA,5.703,10.66044556,
1,382B,10/4/19,,NA,8.428,15.75665113,
1,382G,10/4/19,,NA,9.435,17.63747747,
1,383G,10/4/19,,NA,9.229,17.25372512,
1,386B,10/4/19,,NA,5.462,10.21048245,
1,387G,10/4/19,,NA,5.752,10.75259888,
1,388B,10/4/19,,NA,6.046,11.3018993,
